# coding: utf-8
# 通用表情列表
◆	;li
◈	;lkx
✪	;wux
⓿	;olk
❶	;oyi
❷	;oer
❸	;osj
❹	;osi
❺	;owu
❻	;olq
❼	;oqi
❽	;oba
❾	;ojq
❿	;oui
⓫	;ouy
⓬	;oue
⓭	;ousj
⓮	;ousi
⓯	;ouw
⓰	;oul
⓱	;ouq
⓲	;oub
⓳	;ouj
⓴	;oeu
🅠	;owt
⁰	;ulk
¹	;uyi
²	;uer
³	;usj
⁴	;usi
⁵	;uwu
⁶	;ulq
⁷	;uqi
⁸	;uba
⁹	;ujq
😅	;gg
😃	;gx
😃	;ha
😃	;hh
😌	;ij
😌	;ifj
😳	;lh
😎	;ku
🤠	;uk
🤔	;sk
😊	;wx
🤭	;wz
🤭	;wuz
🤓	;xx
😂	;xk
🤣	;xf
🥲	;yl
🥲	;lw
🥹	;jid
🥹	;gjd
😵‍💫	;xry
👋🏻	;hvu
👍🏻	;dmz
🤝🏻	;wou
🤝🏻	;huv
👏🏻	;guv
👌🏻	;ok
💪🏻	;ql
🙏🏻	;gjx
🙏🏻	;gjj
⌨️	;jmp
⚙️	;iil
💼	;gwb
🔋	;dmi
🔋	;ngl
🕵️	;vft
🗃	;kph
🦩	;xnh
🧘🏻	;vrv
🧘🏻	;jkz
🧘🏻	;mkx
🧘🏻‍	;ijx
🧠	;dan
💭	;yiu
🧬	;jiy
💡	;dgp
💡	;dz
🛠	;gsj
🗺	;dit
🎲	;udz
👨🏻‍💻	;gsz
🔧	;xql
📀	;glp
🧲	;cit
🚀	;hoj
📺	;tv
📚	;du
🧑‍🏫	;jj
🤹🏻	;jn
🕊	;bjg
🕊	;hep
🐟	;xny
🐯	;lch
🦋	;hud
🦋	;ziy
🐮	;nq
🐈‍⬛	;hwm
🪜	;tz
🍏	;qpg
🍀	;xy
🍀	;siy
✅	;dg
✅	;dv
❌	;cw
	;apl
# 其它常用扩展
；	;;
<br>	;br
<line/>	;ln
『	;zk
』	;yk
「	;zf
」	;yf
（详见…）	;xj
https://bilibili.com	;bil
ChatGPT	;cg
WorkFlowy	;wf
➠	;yj
·	;yd
&nbsp;	;sp
“	;zy
”	;yy
‘	;zb
’	;yb
！	;gt
《	;zs
》	;ys
：	;mh
；	;fh
？	;yw
